id	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#superclass	NPC#class	ClassyFire#most specific class	ClassyFire#level 5	ClassyFire#subclass	ClassyFire#class	ClassyFire#superclass	ClassyFire#all classifications	featureId
1325_sirius_2420	C12H20O5	[M - H2O + H]+	C12H18O4	Fatty acids	Fatty Acids and Conjugates	Oxo fatty acids	Medium-chain keto acids and derivatives		Medium-chain keto acids and derivatives	Keto acids and derivatives	Organic acids and derivatives	Organic compounds; Ketones; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Keto acids and derivatives; Gamma-keto acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Gamma butyrolactones; Medium-chain keto acids and derivatives; Secondary alcohols; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	2420
1326_sirius_2421	C28H45NO9	[M + H3N + H]+	C28H48N2O9	Fatty acids	Glycerolipids	Triacylglycerols	Polyethylene glycols	Dialkyl ethers	Ethers	Organooxygen compounds	Organic oxygen compounds	Organic compounds; Organoheterocyclic compounds; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Dialkyl ethers; Carboxylic acid esters; Carbonyl compounds; Trialkylamines; Polyethylene glycols; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	2421
1327_sirius_2423	C27H51NO11	[M + H]+	C27H51NO11	Fatty acids	Glycerolipids	Monoacylglycerols	Polyethylene glycols	Dialkyl ethers	Ethers	Organooxygen compounds	Organic oxygen compounds	Organic compounds; Organoheterocyclic compounds; Ethers; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Trialkylamines; Amines; Polyethylene glycols; Azacyclic compounds; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	2423
1328_sirius_2424	C14H27NO5	[M + H]+	C14H27NO5	Amino acids and Peptides	Small peptides	Dipeptides	Alpha amino acids and derivatives	Amino acids and derivatives	"Amino acids, peptides, and analogues"	Carboxylic acids and derivatives	Organic acids and derivatives	"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Medium-chain hydroxy acids and derivatives; Organooxygen compounds; Fatty amides; Branched fatty acids; Hydroxy fatty acids; Amino acids and derivatives; Monoalkylamines; Carboxylic acid amides; Amino fatty acids; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Medium-chain fatty acids; Methyl-branched fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	2424
1329_sirius_2425	C28H57O10P	[M + H]+	C28H57O10P	Fatty acids	Glycerophospholipids	Monoacylglycerols	Lipids and lipid-like molecules				Lipids and lipid-like molecules	Organic compounds; Lipids and lipid-like molecules; Ethers; Organic acids and derivatives; Organooxygen compounds; Dialkyl ethers; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	2425
1330_sirius_2426	C17H22N2O5	[M + H]+	C17H22N2O5	Alkaloids	Nicotinic acid alkaloids	Pyridine alkaloids	Alpha amino acid esters	Amino acids and derivatives	"Amino acids, peptides, and analogues"	Carboxylic acids and derivatives	Organic acids and derivatives	"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Amino acids and derivatives; Alpha amino acid esters; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Methyl esters; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	2426
1331_sirius_2427	C21H38O18P8	[M + H]+	C21H38O18P8	Fatty acids	Fatty acyls	Glycerophosphoethanolamines	Dialkyl ethers	Dialkyl ethers	Ethers	Organooxygen compounds	Organic oxygen compounds	Organic compounds; Ethers; Organooxygen compounds; Organic oxoanionic compounds; Dialkyl ethers; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	2427
1332_sirius_2428	C42H61NO9	[M + H]+	C42H61NO9	Fatty acids	Glycerolipids	Triacylglycerols	Dicarboxylic acids and derivatives		Dicarboxylic acids and derivatives	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Dialkyl ethers; Carboxylic acid esters; Carbonyl compounds; Trialkylamines; Tertiary amines; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	2428
1333_sirius_2429	C6H10O4P2S10	[M + K]+	C6H10O4P2S10	Fatty acids	Fatty acyls	Fatty alcohols	Dithiophosphate O-esters		Dithiophosphate O-esters	Organic dithiophosphoric acids and derivatives	Organic acids and derivatives	Organic compounds; Organic acids and derivatives; Organooxygen compounds; Sulfenyl compounds; Hydrocarbon derivatives; Dithiophosphate O-esters; Organic oxygen compounds; Chemical entities	2429
1334_sirius_2430	C12H20N5O13P3S	[M + H]+	C12H20N5O13P3S	Carbohydrates	Nucleosides	Purine nucleos(t)ides	Purine ribonucleoside triphosphates	Purine ribonucleoside triphosphates	Purine ribonucleotides	Purine nucleotides	"Nucleosides, nucleotides, and analogues"	"Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Carbohydrates and carbohydrate conjugates; Pyrimidines and pyrimidine derivatives; Imidazoles; Alcohols and polyols; Purines and purine derivatives; Organic acids and derivatives; Organonitrogen compounds; Nucleosides, nucleotides, and analogues; Organooxygen compounds; Organic phosphoric acids and derivatives; Organic sulfuric acids and derivatives; Phosphate esters; Azoles; Aminopyrimidines and derivatives; Diazines; Pentoses; Purine nucleotides; Monosaccharides; Monosaccharide phosphates; Purine ribonucleotides; Purine ribonucleoside monophosphates; Purine ribonucleoside diphosphates; Purine ribonucleoside triphosphates; Secondary alcohols; Imidazopyrimidines; Glycosyl compounds; Glycosylamines; Pentose phosphates; Substituted imidazoles; N-substituted imidazoles; Amines; Primary amines; Tetrahydrofurans; 6-aminopurines; Alkyl phosphates; Monoalkyl phosphates; Imidolactams; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	2430
1335_sirius_2431	C28H18O12	[M + K]+	C28H18O12	Shikimates and Phenylpropanoids	Phenanthrenoids	Flavones	7-hydroxyflavonoids	7-hydroxyflavonoids	Hydroxyflavonoids	Flavonoids	Phenylpropanoids and polyketides	Organic compounds; Organoheterocyclic compounds; Pyrans; Benzopyrans; Alkyl aryl ethers; Alcohols and polyols; Phenols; Chromones; Ethers; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Pyranones and derivatives; Carboxylic acid derivatives; Carboxylic acid esters; Secondary alcohols; Benzene and substituted derivatives; Polyols; Benzenoids; 7-hydroxyflavonoids; 1-benzopyrans; Organic oxides; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Chemical entities	2431
1336_sirius_2432	C13H30N2O11	[M + H3N + H]+	C13H33N3O11	Carbohydrates	Aminosugars and aminoglycosides	Aminosugars	Monosaccharides	Monosaccharides	Carbohydrates and carbohydrate conjugates	Organooxygen compounds	Organic oxygen compounds	"Organic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Ethers; Organic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Monoalkylamines; Monosaccharides; Secondary alcohols; Secondary carboxylic acid amides; 1,2-aminoalcohols; Polyols; Amines; Primary amines; Alkanolamines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	2432
1337_sirius_2433	C16H28O9S6	[M + H]+	C16H28O9S6	Fatty acids	Glycerolipids	Fatty alcohols	Dialkyl ethers	Dialkyl ethers	Ethers	Organooxygen compounds	Organic oxygen compounds	Organic compounds; Organosulfur compounds; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	2433
1338_sirius_2434	C36H48N4O9	[M + H]+	C36H48N4O9	Polyketides	Oligopeptides	Depsipeptides	Alpha amino acids and derivatives	Amino acids and derivatives	"Amino acids, peptides, and analogues"	Carboxylic acids and derivatives	Organic acids and derivatives	"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Phenethylamines; Amphetamines and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Amino acids and derivatives; Carboxylic acid amides; Ureas; Carboxylic acid derivatives; Carboxylic acid esters; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Enoate esters; Alpha,beta-unsaturated carboxylic esters; Vinylogous amides; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	2434
1339_sirius_2436	C11H22O10P6S7	[M + H]+	C11H22O10P6S7	Fatty acids	Fatty acyls	Fatty alcohols	Primary alcohols	Primary alcohols	Alcohols and polyols	Organooxygen compounds	Organic oxygen compounds	Organic compounds; Organic acids and derivatives; Primary alcohols; Organooxygen compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	2436
1340_sirius_2437	C19H31NO3	[M + H]+	C19H31NO3	Terpenoids	Linear polyketides	Open-chain polyketides	Carboxylic acid derivatives		Carboxylic acid derivatives	Carboxylic acids and derivatives	Organic acids and derivatives	Organic compounds; Organoheterocyclic compounds; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid derivatives; Carbonyl compounds; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	2437
1342_sirius_2444	C37H61O8P	[M + H]+	C37H61O8P	Fatty acids	Glycerolipids	Monoacylglycerols	Dialkyl ethers	Dialkyl ethers	Ethers	Organooxygen compounds	Organic oxygen compounds	Organic compounds; Ethers; Organooxygen compounds; Dialkyl ethers; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	2444
1344_sirius_2447	C34H62O13	[M - H4O2 + H]+	C34H58O11	Terpenoids	Steroids	Cardenolides	Steroidal glycosides		Steroidal glycosides	Steroids and steroid derivatives	Lipids and lipid-like molecules	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Steroids and steroid derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Steroidal glycosides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Dialkyl ethers; Carboxylic acid esters; Cyclic alcohols and derivatives; Hydroxysteroids; Monosaccharides; Acetals; Secondary alcohols; Carbonyl compounds; Oxanes; Glycosyl compounds; O-glycosyl compounds; Polyols; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; 14-hydroxysteroids; Organic oxygen compounds; Chemical entities	2447
1345_sirius_2453	C20H41NO3	[M + H]+	C20H41NO3	Fatty acids	Fatty amides	N-acyl amines	Amino acids and derivatives	Amino acids and derivatives	"Amino acids, peptides, and analogues"	Carboxylic acids and derivatives	Organic acids and derivatives	"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Quaternary ammonium salts; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid salts; Carboxylic acids; Carbonyl compounds; Amines; Organic salts; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	2453
1346_sirius_2454	C8H17O5S7	[M + H3N + H]+	C8H20NO5S7	Fatty acids	Fatty acyls	Fatty alcohols	Sulfoxides			Sulfoxides	Organosulfur compounds	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Primary alcohols; Organooxygen compounds; Sulfoxides; Sulfenyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	2454
1347_sirius_2458	C20H20N2O5	[M + H]+	C20H20N2O5	Amino acids and Peptides	Small peptides	Dipeptides	N-acyl-L-alpha-amino acids	Amino acids and derivatives	"Amino acids, peptides, and analogues"	Carboxylic acids and derivatives	Organic acids and derivatives	"Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Pyrroles; Alkyl aryl ethers; Anisoles; Indoles and derivatives; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Carbamic acids and derivatives; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carbamate esters; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Substituted pyrroles; Benzene and substituted derivatives; Phenol ethers; N-acyl-alpha amino acids; Benzenoids; Indoles; Organic oxides; Methoxybenzenes; Azacyclic compounds; Heteroaromatic compounds; N-acyl-L-alpha-amino acids; Hydrocarbon derivatives; 3-alkylindoles; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Phenoxy compounds; Chemical entities"	2458
1349_sirius_2462	C8H12O4P4S8	[M + K]+	C8H12O4P4S8	Fatty acids	Fatty acyls	Pyridine alkaloids	Dithiophosphate O-esters		Dithiophosphate O-esters	Organic dithiophosphoric acids and derivatives	Organic acids and derivatives	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organic acids and derivatives; Organooxygen compounds; Sulfenyl compounds; Organic dithiophosphoric acids and derivatives; Hydrocarbon derivatives; Dithiophosphate O-esters; Organic oxygen compounds; Chemical entities	2462
1350_sirius_2467	C5H9O2PS12	[M + K]+	C5H9O2PS12	Fatty acids	Fatty acyls	Fatty alcohols	Sulfenyl compounds			Sulfenyl compounds	Organosulfur compounds	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Sulfenyl compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	2467
1351_sirius_2471	C25H39N3O6	[M + H]+	C25H39N3O6	Amino acids and Peptides	Small peptides	Tripeptides	Dipeptides	Peptides	"Amino acids, peptides, and analogues"	Carboxylic acids and derivatives	Organic acids and derivatives	"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Epoxides; Phenethylamines; Amphetamines and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Fatty amides; Dicarboxylic acids and derivatives; Amino acids and derivatives; Peptides; Alpha amino acid esters; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acid esters; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Alpha amino acid amides; Benzenoids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Phenylalanine and derivatives; Leucine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Dipeptides; Chemical entities"	2471
1352_sirius_2472	C42H73N7O13	[M - H4O2 + H]+	C42H69N7O11	Amino acids and Peptides	Oligopeptides	Cyclic peptides	Alpha amino acid esters	Amino acids and derivatives	"Amino acids, peptides, and analogues"	Carboxylic acids and derivatives	Organic acids and derivatives	"Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Macrolactams; Alcohols and polyols; Lactams; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Amino acids and derivatives; Alpha amino acid esters; Carboxylic acid amides; Carboxylic acid derivatives; Carboxylic acid esters; Secondary alcohols; Primary carboxylic acid amides; Secondary carboxylic acid amides; Carbonyl compounds; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	2472
1353_sirius_2473	C13H29O15P5	[M + H]+	C13H29O15P5	Fatty acids	Fatty acyls	Fatty alcohols	Organic phosphites		Organic phosphites	Organic oxoanionic compounds	Organic oxygen compounds	Organic compounds; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Organophosphorus compounds; Organic oxoanionic compounds; Dialkyl ethers; Organic phosphites; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	2473
1354_sirius_2474	C32H54O10	[M - H2O + H]+	C32H52O9	Terpenoids	Steroids	Cardenolides	Cardenolide glycosides and derivatives	Cardenolides and derivatives	Steroid lactones	Steroids and steroid derivatives	Lipids and lipid-like molecules	"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Lactones; Alcohols and polyols; Ethers; Steroids and steroid derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Steroidal glycosides; Carboxylic acid derivatives; Steroid lactones; Monocarboxylic acids and derivatives; Dialkyl ethers; Carboxylic acid esters; Cyclic alcohols and derivatives; Hydroxysteroids; Hexoses; Monosaccharides; Cardenolides and derivatives; Cardenolide glycosides and derivatives; Acetals; Secondary alcohols; Tertiary alcohols; Carbonyl compounds; Furanones; Dihydrofurans; Oxanes; Glycosyl compounds; O-glycosyl compounds; Butenolides; Enoate esters; Alpha,beta-unsaturated carboxylic esters; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; 14-hydroxysteroids; Organic oxygen compounds; Chemical entities"	2474
1356_sirius_2478	C6H10O3P7S7	[M + H]+	C6H10O3P7S7	Fatty acids	Fatty acyls	Fatty alcohols	Hydrocarbon derivatives				Hydrocarbon derivatives	Organic compounds; Hydrocarbon derivatives; Chemical entities	2478
1357_sirius_2479	C24H44N8O8	[M + H]+	C24H44N8O8	Amino acids and Peptides	Oligopeptides	Cyclic peptides	Lactams			Lactams	Organoheterocyclic compounds	Organic compounds; Organoheterocyclic compounds; Lactams; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Secondary carboxylic acid amides; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	2479
1358_sirius_2480	C33H51NO8	[M + H]+	C33H51NO8	Terpenoids	Steroids	Open-chain polyketides	Hydroxysteroids		Hydroxysteroids	Steroids and steroid derivatives	Lipids and lipid-like molecules	"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Lactones; Alcohols and polyols; Ethers; Steroids and steroid derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Dicarboxylic acids and derivatives; Amino acids and derivatives; Carboxylic acid derivatives; Dialkyl ethers; Carboxylic acid esters; Hydroxysteroids; Carbonyl compounds; Trialkylamines; Amines; Tertiary amines; Enoate esters; Alpha,beta-unsaturated carboxylic esters; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	2480
1359_sirius_2481	C16H26O9S6	[M + H3N + H]+	C16H29NO9S6	Fatty acids	Glycerolipids	Fatty alcohols	Dialkyl ethers	Dialkyl ethers	Ethers	Organooxygen compounds	Organic oxygen compounds	Organic compounds; Organosulfur compounds; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	2481
1360_sirius_2482	C21H25NO6	[M + H]+	C21H25NO6	Shikimates and Phenylpropanoids	Tyrosine alkaloids	Isoquinoline alkaloids	Amino acids and derivatives	Amino acids and derivatives	"Amino acids, peptides, and analogues"	Carboxylic acids and derivatives	Organic acids and derivatives	"Organic compounds; Amino acids, peptides, and analogues; Ketones; Alkyl aryl ethers; Anisoles; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Benzoyl derivatives; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid derivatives; Carboxylic acid esters; Trialkylamines; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Amines; Tertiary amines; Aryl ketones; Aralkylamines; Organic oxides; Methoxybenzenes; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Phenoxy compounds; Chemical entities"	2482
1361_sirius_2483	C20H22O8	[M + H3N + H]+	C20H25NO8	Polyketides	Naphthalenes	Angucyclines	Anisoles		Anisoles	Phenol ethers	Benzenoids	Organic compounds; Organoheterocyclic compounds; Alkyl aryl ethers; Anisoles; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Dialkyl ethers; Carboxylic acid esters; Carbonyl compounds; Phenol ethers; Benzenoids; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	2483
1362_sirius_2485	C14H22O7	[M - H4O2 + H]+	C14H18O5	Fatty acids	Macrolides	Macrolide lactones	Hydroxy acids and derivatives			Hydroxy acids and derivatives	Organic acids and derivatives	Organic compounds; Lipids and lipid-like molecules; Lactones; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Dicarboxylic acids and derivatives; Hydroxy acids and derivatives; Carboxylic acid derivatives; Carboxylic acids; Carboxylic acid esters; Secondary alcohols; Carbonyl compounds; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	2485
1363_sirius_2493	C17H24O5	[M + Na]+	C17H24O5	Shikimates and Phenylpropanoids	Sesquiterpenoids	Dibenzylbutane lignans	Anisoles		Anisoles	Phenol ethers	Benzenoids	Organic compounds; Lipids and lipid-like molecules; Alkyl aryl ethers; Alcohols and polyols; Anisoles; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Carboxylic acid esters; Carbonyl compounds; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Organic oxides; Methoxybenzenes; Hydrocarbon derivatives; Organic oxygen compounds; Phenoxy compounds; Chemical entities	2493
1364_sirius_2494	C16H35N6O20P7	[M + H]+	C16H35N6O20P7	Alkaloids	Pseudoalkaloids	Glycerophosphoethanolamines	Organic pyrophosphates		Organic pyrophosphates	Organic oxoanionic compounds	Organic oxygen compounds	Organic compounds; Alcohols and polyols; Ethers; Organonitrogen compounds; Organooxygen compounds; Organic oxoanionic compounds; Dialkyl ethers; Organic pyrophosphates; Organic salts; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	2494
1365_sirius_2495	C14H20O6	[M + H]+	C14H20O6	Polyketides	Coumarins	Azaphilones	Benzopyrans			Benzopyrans	Organoheterocyclic compounds	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Lactones; Benzopyrans; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Pyranones and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary alcohols; Carbonyl compounds; Heterocyclic fatty acids; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	2495
1366_sirius_2497	C20H22O8	[M + H]+	C20H22O8	Polyketides	Naphthalenes	Anthraquinones and anthrones	Aryl ketones	Ketones	Carbonyl compounds	Organooxygen compounds	Organic oxygen compounds	Organic compounds; Organoheterocyclic compounds; Ketones; Alcohols and polyols; Phenols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Secondary alcohols; Carbonyl compounds; Benzenoids; Aryl ketones; Vinylogous acids; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities	2497
1367_sirius_2502	C23H35N3O5	[M + H]+	C23H35N3O5	Amino acids and Peptides	Small peptides	Dipeptides	Peptides	Peptides	"Amino acids, peptides, and analogues"	Carboxylic acids and derivatives	Organic acids and derivatives	"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Lactams; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Peptides; Alpha amino acid esters; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	2502
1368_sirius_2503	C18H22N2O2	[M + H]+	C18H22N2O2	Alkaloids	Lysine alkaloids	Simple indole alkaloids	Indolecarboxylic acids and derivatives		Indolecarboxylic acids and derivatives	Indoles and derivatives	Organoheterocyclic compounds	Organic compounds; Organoheterocyclic compounds; Pyrroles; Lactams; Piperidines; Indoles and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Tertiary carboxylic acid amides; Indolecarboxylic acids and derivatives; Substituted pyrroles; Benzenoids; Amines; Indoles; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; 3-alkylindoles; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	2503
1369_sirius_2507	C12H16O5	[M + Na]+	C12H16O5	Polyketides	Cyclic polyketides	2-pyrone derivatives	Benzoyl derivatives		Benzoyl derivatives	Benzene and substituted derivatives	Benzenoids	Organic compounds; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Benzoyl derivatives; Organooxygen compounds; Carbonyl compounds; Benzenoids; Vinylogous esters; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	2507
